Short_Name,Original_Name
country,Your Current Country.
zip_code,Your Current Zip Code / Pin Code
gender,Your Gender
career_factors,Which of the below factors influence the most about your career aspirations ?
higher_ed_abroad,Would you definitely pursue a Higher Education / Post Graduation outside of India ? If only you have to self sponsor it.
long_term_employer,How likely is that you will work for one employer for 3 years or more ?
unclear_mission,Would you work for a company whose mission is not clearly defined and publicly posted.
misaligned_mission,How likely would you work for a company whose mission is misaligned with their public actions or even their product ?
no_social_impact,How likely would you work for a company whose mission is not bringing social impact ?
work_env,What is the most preferred working environment for you.
employer_choice,Which of the below Employers would you work with.
learning_env,Which type of learning environment that you are most likely to work in ?
asp_job,Which of the below careers looks close to your Aspirational job ?
manager_type,What type of Manager would you work without looking into your watch ?
work_setup,Which of the following setup you would like to work ?
